sno,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,Man_of_Match,venue,F_umpire,S_Umpire,
375,2013,Mumbai,7/5/2013,MI,KKR,MI,bat,normal,N,MI,65,0,SR Tendulkar,Wankhede Stadium,HDPK Dharmasena,S Ravi,
376,2013,Hyderabad,8/5/2013,CSK,SH,SH,field,normal,N,CSK,77,0,SK Raina,"Rajiv Gandhi International Stadium, Uppal",S Das,NJ Llong,
377,2013,Chandigarh,9/5/2013,KXIP,RR,RR,field,normal,N,RR,0,8,KK Cooper,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena,S Ravi,
378,2013,Pune,9/5/2013,KKR,PW,KKR,bat,normal,N,KKR,46,0,G Gambhir,Subrata Roy Sahara Stadium,Asad Rauf,S Asnani,
379,2013,Delhi,10/5/2013,RCB,DD,DD,field,normal,N,RCB,4,0,JD Unadkat,Feroz Shah Kotla,NJ Llong,K Srinath,
380,2013,Pune,11/5/2013,PW,MI,PW,bat,normal,N,MI,0,5,MG Johnson,Subrata Roy Sahara Stadium,Asad Rauf,AK Chaudhary,
381,2013,Chandigarh,11/5/2013,SH,KXIP,KXIP,field,normal,N,SH,30,0,PA Patel,"Punjab Cricket Association Stadium, Mohali",S Das,RJ Tucker,
382,2013,Ranchi,12/5/2013,RCB,KKR,KKR,field,normal,N,KKR,0,5,JH Kallis,JSCA International Stadium Complex,NJ Llong,K Srinath,
383,2013,Jaipur,12/5/2013,CSK,RR,RR,field,normal,N,RR,0,5,SR Watson,Sawai Mansingh Stadium,HDPK Dharmasena,CK Nandan,
384,2013,Delhi,23/04/13,DD,KXIP,KXIP,field,normal,N,KXIP,0,5,Harmeet Singh,Feroz Shah Kotla,VA Kulkarni,K Srinath,
385,2013,Mumbai,13/05/13,SH,MI,SH,bat,normal,N,MI,0,7,KA Pollard,Wankhede Stadium,AK Chaudhary,SJA Taufel,
386,2013,Ranchi,15/05/13,PW,KKR,KKR,field,normal,N,PW,7,0,MK Pandey,JSCA International Stadium Complex,NJ Llong,K Srinath,
387,2013,Chennai,14/05/13,CSK,DD,CSK,bat,normal,N,CSK,33,0,MS Dhoni,"MA Chidambaram Stadium, Chepauk",C Shamshuddin,RJ Tucker,
388,2013,Mumbai,15/05/13,MI,RR,RR,field,normal,N,MI,14,0,AP Tare,Wankhede Stadium,Asad Rauf,S Asnani,
389,2013,Chandigarh,6/5/2013,RCB,KXIP,KXIP,field,normal,N,KXIP,0,6,DA Miller,"Punjab Cricket Association Stadium, Mohali",VA Kulkarni,NJ Llong,
390,2013,Hyderabad,17/05/13,SH,RR,SH,bat,normal,N,SH,23,0,A Mishra,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,AK Chaudhary,
391,2013,Dharamsala,18/05/13,KXIP,MI,MI,field,normal,N,KXIP,50,0,Azhar Mahmood,Himachal Pradesh Cricket Association Stadium,HDPK Dharmasena,CK Nandan,
392,2013,Pune,19/05/13,PW,DD,PW,bat,normal,N,PW,38,0,LJ Wright,Subrata Roy Sahara Stadium,NJ Llong,SJA Taufel,
393,2013,Bangalore,18/05/13,RCB,CSK,CSK,field,normal,N,RCB,24,0,V Kohli,M Chinnaswamy Stadium,C Shamshuddin,RJ Tucker,
394,2013,Hyderabad,19/05/13,KKR,SH,KKR,bat,normal,N,SH,0,5,PA Patel,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,S Asnani,
395,2013,Delhi,21/05/13,CSK,MI,CSK,bat,normal,N,CSK,48,0,MEK Hussey,Feroz Shah Kotla,NJ Llong,RJ Tucker,
396,2013,Delhi,22/05/13,SH,RR,SH,bat,normal,N,RR,0,4,BJ Hodge,Feroz Shah Kotla,S Ravi,RJ Tucker,
397,2013,Kolkata,24/05/13,RR,MI,RR,bat,normal,N,MI,0,4,Harbhajan Singh,Eden Gardens,C Shamshuddin,SJA Taufel,
398,2013,Kolkata,26/05/13,MI,CSK,MI,bat,normal,N,MI,23,0,KA Pollard,Eden Gardens,HDPK Dharmasena,SJA Taufel,
399,2014,Abu Dhabi,16/04/14,KKR,MI,KKR,bat,normal,N,KKR,41,0,JH Kallis,Sheikh Zayed Stadium,M Erasmus,RK Illingworth,
400,2014,Sharjah,17/04/14,DD,RCB,RCB,field,normal,N,RCB,0,8,YS Chahal,Sharjah Cricket Stadium,Aleem Dar,S Ravi,
401,2014,Abu Dhabi,18/04/14,CSK,KXIP,CSK,bat,normal,N,KXIP,0,6,GJ Maxwell,Sheikh Zayed Stadium,RK Illingworth,C Shamshuddin,
402,2014,Abu Dhabi,18/04/14,SH,RR,RR,field,normal,N,RR,0,4,AM Rahane,Sheikh Zayed Stadium,BF Bowden,RK Illingworth,
403,2014,,19/04/14,MI,RCB,RCB,field,normal,N,RCB,0,7,PA Patel,Dubai International Cricket Stadium,Aleem Dar,AK Chaudhary,
404,2014,,19/04/14,KKR,DD,KKR,bat,normal,N,DD,0,4,JP Duminy,Dubai International Cricket Stadium,Aleem Dar,VA Kulkarni,
405,2014,Sharjah,20/04/14,RR,KXIP,KXIP,field,normal,N,KXIP,0,7,GJ Maxwell,Sharjah Cricket Stadium,BF Bowden,M Erasmus,
406,2014,Abu Dhabi,21/04/14,CSK,DD,CSK,bat,normal,N,CSK,93,0,SK Raina,Sheikh Zayed Stadium,RK Illingworth,C Shamshuddin,
407,2014,Sharjah,22/04/14,KXIP,SH,SH,field,normal,N,KXIP,72,0,GJ Maxwell,Sharjah Cricket Stadium,M Erasmus,S Ravi,
408,2014,,23/04/14,CSK,RR,RR,field,normal,N,CSK,7,0,RA Jadeja,Dubai International Cricket Stadium,HDPK Dharmasena,RK Illingworth,
409,2014,Sharjah,24/04/14,KKR,RCB,RCB,field,normal,N,KKR,2,0,CA Lynn,Sharjah Cricket Stadium,Aleem Dar,VA Kulkarni,
410,2014,,25/04/14,SH,DD,SH,bat,normal,N,SH,4,0,AJ Finch,Dubai International Cricket Stadium,M Erasmus,S Ravi,
411,2014,,25/04/14,MI,CSK,MI,bat,normal,N,CSK,0,7,MM Sharma,Dubai International Cricket Stadium,BF Bowden,M Erasmus,
412,2014,Abu Dhabi,26/04/14,RCB,RR,RR,field,normal,N,RR,0,6,PV Tambe,Sheikh Zayed Stadium,HDPK Dharmasena,C Shamshuddin,
413,2014,Abu Dhabi,26/04/14,KXIP,KKR,KKR,field,normal,N,KXIP,23,0,Sandeep Sharma,Sheikh Zayed Stadium,HDPK Dharmasena,RK Illingworth,
414,2014,Sharjah,27/04/14,MI,DD,MI,bat,normal,N,DD,0,6,M Vijay,Sharjah Cricket Stadium,Aleem Dar,VA Kulkarni,
415,2014,Sharjah,27/04/14,SH,CSK,SH,bat,normal,N,CSK,0,5,DR Smith,Sharjah Cricket Stadium,AK Chaudhary,VA Kulkarni,
416,2014,,28/04/14,RCB,KXIP,KXIP,field,normal,N,KXIP,0,5,Sandeep Sharma,Dubai International Cricket Stadium,BF Bowden,S Ravi,
417,2014,Abu Dhabi,29/04/14,RR,KKR,RR,bat,tie,N,RR,0,0,JP Faulkner,Sheikh Zayed Stadium,Aleem Dar,AK Chaudhary,
418,2014,,30/04/14,SH,MI,MI,field,normal,N,SH,15,0,B Kumar,Dubai International Cricket Stadium,HDPK Dharmasena,M Erasmus,
419,2014,Ranchi,2/5/2014,CSK,KKR,CSK,bat,normal,N,CSK,34,0,RA Jadeja,JSCA International Stadium Complex,AK Chaudhary,NJ Llong,
420,2014,Mumbai,3/5/2014,KXIP,MI,KXIP,bat,normal,N,MI,0,5,CJ Anderson,Wankhede Stadium,BNJ Oxenford,C Shamshuddin,
421,2014,Delhi,3/5/2014,DD,RR,RR,field,normal,N,RR,0,7,KK Nair,Feroz Shah Kotla,SS Hazare,S Ravi,
422,2014,Bangalore,4/5/2014,SH,RCB,RCB,field,normal,N,RCB,0,4,AB de Villiers,M Chinnaswamy Stadium,HDPK Dharmasena,VA Kulkarni,
423,2014,Ahmedabad,5/5/2014,RR,KKR,KKR,field,normal,N,RR,10,0,PV Tambe,"Sardar Patel Stadium, Motera",NJ Llong,CK Nandan,
424,2014,Delhi,5/5/2014,DD,CSK,CSK,field,normal,N,CSK,0,8,DR Smith,Feroz Shah Kotla,RM Deshpande,BNJ Oxenford,
425,2014,Mumbai,6/5/2014,MI,RCB,RCB,field,normal,N,MI,19,0,RG Sharma,Wankhede Stadium,S Ravi,K Srinath,
426,2014,Delhi,7/5/2014,DD,KKR,DD,bat,normal,N,KKR,0,8,G Gambhir,Feroz Shah Kotla,BNJ Oxenford,C Shamshuddin,
427,2014,Cuttack,7/5/2014,KXIP,CSK,CSK,field,normal,N,KXIP,44,0,GJ Maxwell,Barabati Stadium,HDPK Dharmasena,PG Pathak,
428,2014,Ahmedabad,8/5/2014,SH,RR,RR,field,normal,N,SH,32,0,B Kumar,"Sardar Patel Stadium, Motera",AK Chaudhary,NJ Llong,
429,2014,Bangalore,9/5/2014,KXIP,RCB,RCB,field,normal,N,KXIP,32,0,Sandeep Sharma,M Chinnaswamy Stadium,S Ravi,K Srinath,
430,2014,Delhi,10/5/2014,DD,SH,SH,field,normal,Y,SH,0,8,DW Steyn,Feroz Shah Kotla,RM Deshpande,BNJ Oxenford,
431,2014,Mumbai,10/5/2014,MI,CSK,CSK,field,normal,N,CSK,0,4,DR Smith,Wankhede Stadium,HDPK Dharmasena,VA Kulkarni,
432,2014,Cuttack,11/5/2014,KXIP,KKR,KKR,field,normal,N,KKR,0,9,G Gambhir,Barabati Stadium,NJ Llong,CK Nandan,
433,2014,Bangalore,11/5/2014,RCB,RR,RCB,bat,normal,N,RR,0,5,JP Faulkner,M Chinnaswamy Stadium,S Ravi,RJ Tucker,
434,2014,Hyderabad,12/5/2014,SH,MI,SH,bat,normal,N,MI,0,7,AT Rayudu,"Rajiv Gandhi International Stadium, Uppal",HDPK Dharmasena,VA Kulkarni,
435,2014,Ranchi,13/05/14,RR,CSK,RR,bat,normal,N,CSK,0,5,RA Jadeja,JSCA International Stadium Complex,BNJ Oxenford,C Shamshuddin,
436,2014,Bangalore,13/05/14,RCB,DD,DD,field,normal,N,RCB,16,0,Yuvraj Singh,M Chinnaswamy Stadium,K Srinath,RJ Tucker,
437,2014,Hyderabad,14/05/14,SH,KXIP,KXIP,field,normal,N,KXIP,0,6,WP Saha,"Rajiv Gandhi International Stadium, Uppal",VA Kulkarni,PG Pathak,
438,2014,Cuttack,14/05/14,MI,KKR,KKR,field,normal,N,KKR,0,6,RV Uthappa,Barabati Stadium,AK Chaudhary,NJ Llong,
439,2014,Ahmedabad,15/05/14,RR,DD,DD,field,normal,N,RR,62,0,AM Rahane,"Sardar Patel Stadium, Motera",S Ravi,RJ Tucker,
440,2014,Ranchi,18/05/14,CSK,RCB,CSK,bat,normal,N,RCB,0,5,AB de Villiers,JSCA International Stadium Complex,BNJ Oxenford,C Shamshuddin,
441,2014,Hyderabad,18/05/14,SH,KKR,SH,bat,normal,N,KKR,0,7,UT Yadav,"Rajiv Gandhi International Stadium, Uppal",NJ Llong,CK Nandan,
442,2014,Ahmedabad,19/05/14,MI,RR,MI,bat,normal,N,MI,25,0,MEK Hussey,"Sardar Patel Stadium, Motera",S Ravi,RJ Tucker,
443,2014,Delhi,19/05/14,DD,KXIP,KXIP,field,normal,N,KXIP,0,4,AR Patel,Feroz Shah Kotla,HDPK Dharmasena,PG Pathak,
444,2014,Hyderabad,20/05/14,RCB,SH,RCB,bat,normal,N,SH,0,7,DA Warner,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary,NJ Llong,
445,2014,Kolkata,20/05/14,CSK,KKR,KKR,field,normal,N,KKR,0,8,RV Uthappa,Eden Gardens,RM Deshpande,C Shamshuddin,
446,2014,Chandigarh,21/05/14,KXIP,MI,MI,field,normal,N,MI,0,7,LMP Simmons,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena,VA Kulkarni,
447,2014,Kolkata,22/05/14,KKR,RCB,RCB,field,normal,N,KKR,30,0,RV Uthappa,Eden Gardens,AK Chaudhary,CK Nandan,
448,2014,Ranchi,22/05/14,CSK,SH,SH,field,normal,N,SH,0,6,DA Warner,JSCA International Stadium Complex,BNJ Oxenford,C Shamshuddin,
449,2014,Mumbai,23/05/14,MI,DD,DD,field,normal,N,MI,15,0,MEK Hussey,Wankhede Stadium,S Ravi,RJ Tucker,
450,2014,Chandigarh,23/05/14,KXIP,RR,RR,field,normal,N,KXIP,16,0,SE Marsh,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena,PG Pathak,
451,2014,Bangalore,24/05/14,RCB,CSK,CSK,field,normal,N,CSK,0,8,MS Dhoni,M Chinnaswamy Stadium,AK Chaudhary,NJ Llong,
452,2014,Kolkata,24/05/14,SH,KKR,KKR,field,normal,N,KKR,0,4,YK Pathan,Eden Gardens,RM Deshpande,BNJ Oxenford,
453,2014,Chandigarh,25/05/14,DD,KXIP,KXIP,field,normal,N,KXIP,0,7,M Vohra,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena,VA Kulkarni,
454,2014,Mumbai,25/05/14,RR,MI,MI,field,normal,N,MI,0,5,CJ Anderson,Wankhede Stadium,K Srinath,RJ Tucker,
455,2014,Kolkata,27/05/14,KKR,KXIP,KXIP,field,normal,N,KKR,28,0,UT Yadav,Eden Gardens,NJ Llong,S Ravi,
456,2014,Mumbai,28/05/14,MI,CSK,CSK,field,normal,N,CSK,0,7,SK Raina,Brabourne Stadium,VA Kulkarni,BNJ Oxenford,
457,2014,Mumbai,30/05/14,KXIP,CSK,CSK,field,normal,N,KXIP,24,0,V Sehwag,Wankhede Stadium,HDPK Dharmasena,RJ Tucker,
458,2014,Bangalore,1/6/2014,KXIP,KKR,KKR,field,normal,N,KKR,0,3,MK Pandey,M Chinnaswamy Stadium,HDPK Dharmasena,BNJ Oxenford,
459,2015,Kolkata,8/4/2015,MI,KKR,KKR,field,normal,N,KKR,0,7,M Morkel,Eden Gardens,S Ravi,C Shamshuddin,
